text,label
Предмет договора Продавец обязуется передать собственность Покупателю Покупатель обязуется принять оплатить следующее оборудование комплект оборудования нанесения порошковой эмали далее тексту оборудование комплект технологического оборудования нанесения рекуперации порошковых эмалей далее тексту оборудование Оборудование указанное подп,5
является бывшим употреблении комплектация технические характеристики которого устанавливаются Приложении являющегося неотъемлемой частью настоящего Договора Продавец гарантирует оборудование момент заключения настоящего Договора заложено споре арестом состоит правами третьих лиц обременено Цена договора Общая стоимость оборудования Договору составляет рублей копеек включая сумму НДС которой стоимость оборудования составляет руб,5
включая сумму НДС Указанная стоимость является окончательной изменению подлежит Покупатель оплачивает стоимости оборудования позднее Двух рабочих дней даты подписания Сторонами Договора Оплата производится путем перечисления денежных средств расчетный счет Продавца,5
Моментом оплаты считается дата зачисления денежных средств расчетный счет Продавца Порядок условия передачи оборудования Передача оборудования осуществляется течение Пятнадцати рабочих дней получения Продавцом денежных средств оборудование оформляется актом приемапередачи Приложение являющимся неотъемлемой частью Договора Покупатель вывозит оборудование склада Продавца своими силами свой счет,5
Право собственности оборудование риск случайной гибели повреждения оборудования переходит Покупателю момента подписания акта приемапередачи Права обязанности Сторон Продавец обязан Передать Покупателю оборудование состоянии пригодном нормальной эксплуатации условиях предусмотренных Договором Одновременно передачей оборудования передать Покупателю Торг счетфактуру товарнотранспортную накладную техническую документацию предусмотренную данного оборудования,5
В случае просрочки передачи оборудования основании письменной претензии уплатить Покупателю штраф размере каждый день просрочки стоимости оборудования Продавец имеет право Не передавать оборудование получения полной стоимости оборудование Требовать своевременного вывоза оборудования склада Продавца Покупатель обязан Произвести оплату оборудования порядке сроки предусмотренные настоящим Договором Обеспечить вывоз оборудования склада Продавца течение Пятнадцати рабочих дней момента подписания Сторонами акта приемапередачи При просрочке вывоза оборудования предусмотренного подп,5
основании письменной претензии уплатить Продавцу штраф размере Одна тысяча рублей каждые полные сутки неисполнения обязательств предусмотренного настоящим подпунктом Покупатель имеет право Требовать передачи оборудования срок указанный п настоящего Договора Форсмажор Ни одна Сторон несет ответственности Стороной невыполнение обязательств обусловленных обстоятельствами непреодолимой силы возникшими помимо воли желания Сторон которые предвидеть избежать включая объявленную фактическую войну гражданские волнения эпидемии блокаду эмбарго землетрясения наводнения пожары другие стихийные бедствия подтвержденные нормативными актами уполномоченных государственных органов Сторона которая исполнить своего обязательства вследствие действия обстоятельств непреодолимой силы должна известить другую Сторону имеющихся препятствиях влиянии исполнение обязательств Договору Заключительные положения Договор заключен х экземплярах имеющих одинаковую юридическую силу одному экземпляру каждой Стороны,5
Все изменения дополнения Договору считаются действительными оформлены письменном виде подписаны надлежащими уполномоченными представителями Сторон Покупатель заверяет гарантирует располагает финансовыми материальнотехническими трудовыми ресурсами также иными ресурсами необходимыми исполнения обязательств Договору Покупатель заверяет гарантирует достоверность сведений ЕГРЮЛ,5
В случае внесения ЕГРЮЛ записи недостоверности сведений Покупатель обязуется месячный срок дня появления записи внести изменения ЕГРЮЛ инспекция аннулировала указанную запись Сторона вправе передавать свои права обязательства Договору третьим лицам предварительного письменного согласия Стороны Все споры разногласия которые могут возникнуть Сторонами вытекающие Договора связи будут разрешаться путем переговоров,5
В случае невозможности путем переговоров достичь соглашения спорным вопросам течение Десяти календарных дней момента получения письменной претензии либо Тридцать календарных дней даты отправки зависимости срок наступит раньше споры передаются рассмотрение Арбитражный суд месту нахождения истца Адреса реквизиты Сторон Продавец Покупатель,5
Подписи СторонПриложение Договору куплипродажи оборудования гКОМПЛЕКТАЦИЯ И ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ п п Наименование Количество Примечание Оборудование Автоматическая кабина нанесения порошковой эмали блоком фильтров эмалирования муфелей Автоматическая кабина порошковой эмали диэлектрических пластиковых панелей Картриджный модуль фильтрации вытяжным вентилятором Бункер мкостью порошка Панель управления Автоматические манипуляторы вертикальным перемещением установленные платформе позиционирования горизонтальным перемещением Ручная система напыления Система очистки подвесок эмали Конвейер системой натяжения подвесками рамой стойками рамы Система управления х конвейеров,5
Насос рекуперации порошковой эмали Автоматическая кабина нанесения порошковой эмали блоком фильтров эмалирования плоских деталей Автоматическая кабина порошковой эмали диэлектрических пластиковых панелей Картриджный модуль фильтрации вытяжным вентилятором Бункер мкостью порошка Панель управления Автоматические манипуляторы вертикальным перемещением установленные платформе позиционирования горизонтальным перемещением Ручная система напыления Система очистки подвесок эмали Конвейер системой натяжения подвесками рамой стойками рамы Система управления х конвейеров,5
Предмет договора Исполнитель обязуется заданию Заказчика оказать услуги техническому обслуживанию автомобиля Заказчик оплатить услуги Объект технического обслуживанияАвтомобиль марка модель год выпуска модель двигателя мощность двигателя наименование завода изготовителя кузова ПТС идентификационный номер государственный номерной знак Исполнитель оказывает следующие виды услуг техническому обслуживанию автомобиля,2
